Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Rank Initiated,2017-0345-R,2017-06-21,2017-06-22,2017-09-05,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Platoon 1,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 03 - Neatness & Attire,White,Female,37,,,,
Public Initiated,2017-0095-P,2017-02-11,2017-02-27,2017-06-22,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,8th District,Bourbon Street,Unknown Working Status,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,34,,Male,White,28
Public Initiated,2016-0263-P,2015-08-28,2016-04-12,2017-02-28,Duplicate,Completed,Other,FOB - Field Operations Bureau,4th District,4TH dISTRICT,Patrol,Regular Working,Between 3pm-11pm,,,,,,,Female,Black,50
Public Initiated,2017-0196-P,2017-04-02,2017-04-03,2017-09-22,DI-1,Completed,Other,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,28,,Male,White,32
Rank Initiated,2016-0286-R,2016-01-18,2016-04-20,2018-02-19,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,Squad 2,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,45,,,,
Public Initiated,2016-0336-P,2014-08-26,2016-05-11,2017-02-21,DI-1,Completed,Exonerated,PIB - Public Integrity Bureau,Administrative Investigation Section,Administrative Investigation Section,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,,,
Public Initiated,2016-0184-P,2016-03-10,2016-03-11,2016-07-31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,55,,Male,White,
Rank Initiated,2016-0693-R,2016-10-13,2016-10-25,2018-02-14,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Reserve Division,,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,65,,,,
Public Initiated,2016-0010-N,2016-01-04,2016-01-05,2016-02-25,NFIM,Completed,NFIM,,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,White,42
Rank Initiated,2017-0472-D,2017-05-21,2017-09-01,2017-09-01,DI-2,Completed,Other,FOB - Field Operations Bureau,5th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,58,,,,
Public Initiated,2016-0546-N,2016-08-13,2016-08-15,2016-12-21,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,,,,,Sex-Unk,Race-Unknown,
Public Initiated,2016-0789-P,2016-12-02,2016-12-02,2017-05-02,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,Asian/Pacifi,Male,41,,Female,Black,26
Rank Initiated,2018-0053-R,2017-09-28,2018-01-24,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,39,,,,
Public Initiated,2016-0580-P,,2016-08-31,2017-04-12,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,Platoon A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY,Black,Female,,,,,
Public Initiated,2016-0566-N,2016-08-27,2016-08-29,2017-05-02,NFIM,Completed,NFIM,,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,White,22
Public Initiated,2018-0126-P,2018-02-14,2018-02-27,2018-05-08,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,White,Male,40,,,,
Rank Initiated,2017-0691-R,2017-10-10,2017-12-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,31,,,,
Rank Initiated,2017-0442-R,2017-08-18,2017-08-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,Black,Male,30,,,,
Rank Initiated,2017-0642-R,2017-10-29,2017-11-10,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,D.I.U.,Investigations,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Hispanic,Female,39,,,,
Public Initiated,2016-0482-P,2016-07-17,2016-07-17,2017-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,25,,Female,Black,40
Rank Initiated,2016-0681-R,2016-09-27,2016-10-24,2017-12-05,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,49,,,,
Public Initiated,2017-0698-P,2017-12-08,2017-12-11,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,D.I.U.,Staff,Paid Detail,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,39,,Female,Black,43
Public Initiated,2016-0353-N,2016-05-15,2016-05-16,2016-08-26,NFIM,Completed,NFIM,,Unknown District/Division,,,,,NO VIOLATION OBSERVED,,,,,,Female,Black,27
Public Initiated,2016-0145-P,2016-02-28,2016-03-01,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,,,Hispanic,Male,51,,Female,Black,39
Public Initiated,2016-0834-N,2016-11-25,2016-12-22,2017-01-30,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,,,,,,,Male,Black,37
Public Initiated,2016-0431-P,2016-06-20,2016-06-20,2016-11-18,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,6th District,School Resource Officers,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,49,,Male,Black,42
Rank Initiated,2017-0504-R,2017-09-08,2017-09-09,2017-12-14,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,28,,,,
Public Initiated,2016-0636-P,2016-09-09,2016-09-28,2017-05-02,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,C Platoon,Persons,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,White,Male,37,,Male,White,
Public Initiated,2017-0086-P,2017-02-07,2017-02-07,2017-04-27,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Hispanic,Male,52,,Female,Black,34
Public Initiated,2016-0558-P,2016-08-22,2016-08-25,2016-09-09,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,40,,Female,Black,
Rank Initiated,2016-0710-R,2016-10-30,2016-11-13,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Task Force A,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,46,,,,
Rank Initiated,2016-0773-R,2016-11-22,2016-11-23,2017-03-09,DI-1,Completed,Sustained,ISB - Investigative Services Bureau,Crime Lab Division,Crime Lab Section,Support Staff,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,30,,,,
Public Initiated,2017-0301-P,2017-05-25,2017-05-25,2017-09-29,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,B Platoon,Support Staff,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,34,,Female,Black,34
Rank Initiated,2016-0683-D,2016-10-21,2016-10-31,2016-10-28,DI-2,Completed,Other,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,37,,,,
Rank Initiated,2016-0841-R,2016-12-24,2016-12-27,2017-12-05,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,41,,,,
Public Initiated,2016-0069-P,2016-01-31,2016-02-01,2017-06-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,Narcotics,Squad 2,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,White,Male,52,,Male,Black,28
Rank Initiated,2016-0701-R,2016-10-27,2016-11-09,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,43,,,,
Rank Initiated,2017-0330-R,2017-05-01,2017-06-14,2017-12-05,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Black,Male,29,,Male,Black,40
Public Initiated,2017-0641-N,2017-11-09,2017-11-10,2017-11-20,NFIM,Completed,NFIM,ISB - Investigations and Support Bureau,,,,Off Duty,,NO VIOLATION OBSERVED,,Black,Female,43,,,,
Rank Initiated,2016-0231-D,2016-03-30,2016-04-12,,DI-2,Initial,Pending,FOB - Field Operations Bureau,7th District,Night Watch,,,,,,Black,Female,33,,Female,Black,
Public Initiated,2016-0137-P,,2016-02-24,2017-02-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,Unknown,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,,,Female,White,
Public Initiated,2017-0593-N,2017-10-07,2017-10-11,2017-11-20,DI-1,Completed,NFIM,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,,,,,Male,Black,57
Public Initiated,2016-0788-P,2016-11-12,2016-12-07,2017-05-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,32,,Male,White,0
Public Initiated,2016-0098-P,2016-02-09,2016-02-16,2016-06-16,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,44,,Female,Hispanic,38
Rank Initiated,2016-0309-D,2016-04-20,2016-04-29,2016-05-02,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Black,Male,52,,,,
Rank Initiated,2017-0517-D,2017-08-06,2017-09-18,2017-09-21,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,,,,,
Rank Initiated,2016-0551-R,2016-08-17,2016-08-18,2017-11-20,DI-1,Completed,Other,FOB - Field Operations Bureau,Police Recruits,Training Section,,Off Duty,Between 8am-4pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,31,,,,
Public Initiated,2017-0056-P,2017-01-25,2017-01-27,2017-06-13,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,49,,Male,Black,47
Public Initiated,2016-0323-P,2016-05-02,2016-05-05,2016-09-22,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,White,Male,37,,Male,Black,44
Public Initiated,2016-0506-P,2015-01-01,2016-08-01,2017-06-01,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,59,,Female,Black,31
Rank Initiated,2016-0728-R,2016-11-03,2016-11-08,2017-01-04,DI-1,Completed,Sustained,MSB - Management Services Bureau,Education/Training & Recruitment Division,Training Section,Unknown Assignment,Off Duty,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,66,,,,
Public Initiated,2016-0522-P,2016-06-09,2016-08-03,2017-05-02,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Narcotics,Patrol,Regular Working,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,White,Male,29,,Male,Black,37
Rank Initiated,2017-0581-P,2017-10-01,2017-10-09,2017-11-10,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 11pm-7am,,,Black,Male,45,,,,
Rank Initiated,2017-0006-D,2017-01-03,2017-01-06,2017-01-06,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,47,,,,
Public Initiated,2017-0124-P,2017-02-19,2017-03-21,2017-08-15,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,Task Force A,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,Black,Male,26,,Male,Black,35
Rank Initiated,2017-0728-D,2017-10-13,2017-12-29,2018-01-09,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,31,,,,
Rank Initiated,2017-0649-R,2017-11-13,2017-11-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,28,,,,
Public Initiated,2016-0435-P,2016-01-19,2016-06-24,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,,,,,Male,Black,49
Public Initiated,2017-0079-P,2016-05-04,2017-02-06,2018-05-14,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Platoon 1,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,44,,Male,Black,31
Public Initiated,2017-0062-N,2016-11-05,2017-02-06,2017-03-07,NFIM,Completed,NFIM,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,,,NO VIOLATION OBSERVED,,,,,,Female,White,
Public Initiated,2017-0219-P,2017-04-17,2017-04-18,2017-08-21,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,33,,Female,Black,33
Rank Initiated,2017-0555-R,2017-07-02,2017-10-09,2017-11-09,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,42,,,,
Public Initiated,2016-0147-P,2016-01-15,2016-03-09,2017-12-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,,,,,Male,Black,69
Public Initiated,2017-0049-P,2017-01-24,2017-01-25,2017-06-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,33,,Male,Black,24
Rank Initiated,2017-0211-R,2017-03-30,2017-04-13,2018-06-26,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Unknown Working Status,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,32,,,,
Rank Initiated,2016-0201-R,2011-07-06,2016-03-28,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,49,,,,
Rank Initiated,2017-0214-R,2017-04-17,2017-04-17,2018-05-29,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,30,,,,
Public Initiated,2016-0051-P,2016-01-28,2016-02-08,2016-06-15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,39,,,,
Public Initiated,2018-0055-P,2018-01-15,2018-01-24,2018-05-31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,Black,Female,42,,Male,White,53
Public Initiated,2017-0603-P,2017-10-09,2017-10-17,2017-12-29,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Female,40,,,,
Rank Initiated,2016-0164-R,2016-01-28,2016-03-07,2016-09-21,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,Not Specifie,Male,28,,,,
Public Initiated,2016-0307-P,2016-04-28,2016-04-28,2016-05-31,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,3rd District,B Platoon,3rd Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,39,,Female,Black,38
Public Initiated,2016-0649-P,,2016-10-03,2016-10-28,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,2nd District,Detailed/Other,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,,,Female,Black,
Public Initiated,2016-0441-N,2016-06-20,2016-06-24,2016-07-31,NFIM,Completed,NFIM,Not - NOPD Officer,Unknown District/Division,Unknown,Not - NOPD Officer,Not - NOPD Officer,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,,,,,,,
Public Initiated,2016-0517-P,2016-07-31,2016-08-02,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,Black,Male,56,,Female,Black,41
Public Initiated,2017-0104-P,2017-02-17,2017-02-17,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,25,,Male,White,33
Rank Initiated,2017-0525-D,2017-07-14,2017-09-20,2017-09-22,DI-2,Completed,Other,FOB - Field Operations Bureau,2nd District,C Platoon,,,,,,Black,Male,52,,,,
Public Initiated,2016-0813-P,2016-12-09,2016-12-12,2017-05-19,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,57,,Male,Black,32
Rank Initiated,2016-0828-D,2016-12-16,2016-12-19,2016-12-19,DI-2,Completed,Other,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section,Crime Lab Forensic,,,RULE 7: DEPT PROPERTY,PARAGRAPH 03 - CLEANLINESS OF DEPARTMENT EQUIPMENT,White,Male,52,,,,
Public Initiated,2016-0601-P,2016-09-02,2016-09-13,,DI-1,Initial,Pending,FOB - Field Operations Bureau,1st District,B Platoon,,,,,,White,Male,25,,,,
Public Initiated,2016-0695-P,2016-10-25,2016-10-31,2016-11-22,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,6th District,B Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,Black,Male,48,,Male,White,49
Rank Initiated,2017-0182-R,2017-03-24,2017-03-28,2017-05-15,DI-1,Completed,Other,MSB - Management Services Bureau,Police Recruits,Training Section,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,White,Male,25,,,,
Rank Initiated,2017-0690-R,2017-12-03,2017-12-05,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,27,,Male,Black,
Rank Initiated,2016-0459-D,2016-06-29,2017-06-29,2016-07-11,DI-2,Completed,Other,,Records & Identification / Support Services Divisi,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Female,60,,Female,Black,
Public Initiated,2016-0759-P,2016-11-17,2016-11-23,2017-04-17,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,24,,Male,Black,
Public Initiated,2018-0138-P,2018-03-01,2018-03-05,2018-04-05,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,3rd District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,38,,,,
Public Initiated,2017-0374-P,2017-06-21,2017-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Investigations,Staff,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,42,,,,
Public Initiated,2016-0380-P,2016-05-09,2016-06-03,2017-02-20,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad C,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,37,,Female,Black,36
Rank Initiated,2017-0164-R,2017-03-18,2017-03-29,2018-03-26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Male,38,,,,
Public Initiated,2017-0601-P,2017-10-13,2017-10-17,2017-11-20,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,39,,,,
Public Initiated,2016-0244-P,2016-02-03,2016-04-12,2016-04-15,DI-1,Completed,Other,MSB - Management Service Bureau,Records & Identification / Support Services Divisi,Support Services,Staff,,,,,Black,Female,38,,Male,Black,51
Public Initiated,2016-0507-P,2016-07-27,2016-07-28,2017-05-11,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,37,,Male,Black,29
Public Initiated,2016-0720-P,2016-11-03,2016-11-03,2017-05-11,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,D.I.U.,Property,Paid Detail,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Female,49,,Female,Black,26
Public Initiated,2016-0169-P,2016-03-07,2016-03-08,2016-11-18,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,61,,f,b,45
Public Initiated,2017-0651-P,2017-08-23,2017-11-17,2018-03-27,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Hispanic,Male,37,,Male,Race-Unknown,
Public Initiated,2016-0108-P,2016-02-09,2016-02-16,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,33,,Female,Black,49
Public Initiated,2016-0051-P,2016-01-28,2016-02-08,2016-06-15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,51,,,,
Public Initiated,2017-0622-P,2017-10-30,2017-10-30,2018-04-17,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,60,,Female,Hispanic,52
